ID,address,city,country,name,postalCode,state
3007,311 North U.S. 31 South,Traverse City,US,KFC,49684,MI
3008,1907 4th St SW,Mason City,US,Jimmy John's,50401,IA
3009,921 Clinton St,Arkadelphia,US,KFC,71923-5925,AR
3010,1112 N Milwaukee Ave,Libertyville,US,Jimmy John's,60048,IL
3011,2450 Windmill Ln Ste 200,Henderson,US,Jimmy John's,89074,NV
3012,131 Carmichael Rd,Hudson,US,Jimmy John's,54016,WI
3013,600 Hopkins Corner Dr,Waynesboro,US,KFC,30830,GA
3014,2108 W Market St Ste 100,Johnson City,US,Jimmy John's,37604,TN
3015,1301 Broadway St N,Menomonie,US,Jimmy John's,54751,WI
3016,1300 N Town East Blvd Ste 106,Mesquite,US,Jimmy John's,75150,TX
3017,62 B S. Royal St.,Mobile,US,Jimmy John's,36602,AL
3018,1117 Cedar St Ste 140,Monticello,US,Jimmy John's,55362,MN
3019,101 Davidson Rd,Mount Vernon,US,Jimmy John's,62864,IL
3020,501 N Prospect Rd,Bloomington,US,KFC,61704,IL
3021,1706 W Market St,Bloomington,US,KFC,61701,IL
3022,211 Highway 7 South,Blue Springs,US,KFC,64014,MO
3023,640 N Main St,Bluffton,US,KFC,46714,IN
3024,1007 Putney Rd,Brattleboro,US,KFC,05301-9049,VT
3025,4120 Highway 360 Ste 119,Fort Worth,US,Jimmy John's,76155,TX
3026,537 W 2nd St,Hastings,US,Jimmy John's,68901,NE
3027,1011 N Jefferson Way Ste 100,Indianola,US,Jimmy John's,50125,IA
3028,295 State Route 104,Oswego,US,KFC,13126,NY
3029,107 Ariel Circle,Osceola,US,KFC,50213,IA
